	gene	CAI
0	TTHERM_000994399	0.4018201418981971
1	TTHERM_00994140	0.40559941934741567
2	TTHERM_00994360	0.40052213744897924
3	TTHERM_00994330	0.3594338179200047
4	TTHERM_00994200	0.39485897998793545
5	TTHERM_00994240	0.3658361719578675
6	TTHERM_00994100	0.4363371392060352
7	TTHERM_00994060	0.3757592202830147
8	TTHERM_000994059	0.406059819182382
9	TTHERM_00994120	0.38758789070580096
10	TTHERM_000994309	0.41677871021434165
11	TTHERM_000994420	0.35760727479379645
12	TTHERM_00994400	0.4117007545825951
13	TTHERM_00994130	0.43346287497374725
14	TTHERM_000994159	0.3734227760733345
15	TTHERM_00994210	0.4111990936814563
16	TTHERM_00994090	0.3819103241660818
17	TTHERM_00994110	0.4949140736605064
18	TTHERM_00994080	0.3590324825909283
19	TTHERM_00994280	0.34801385823474273
20	TTHERM_00994310	0.3778011024759153
21	TTHERM_00994250	0.39320444564735585
22	TTHERM_00994320	0.3867525012256655
23	TTHERM_00994230	0.4104341751420654
24	TTHERM_00994290	0.37519754913332115
25	TTHERM_00994380	0.47515765204538274
26	TTHERM_00994340	0.3839273402652798
27	TTHERM_00994170	0.3947039482804581
28	TTHERM_00994420	0.4135860945677878
29	TTHERM_00994370	0.48351935821921205
30	TTHERM_000994111	0.36941940161725756
31	TTHERM_00994160	0.4028638565991263
32	TTHERM_00994270	0.36629756646782335
33	TTHERM_000994171	0.2984643993183763
34	TTHERM_00994150	0.35200070247724186
35	TTHERM_00994350	0.3905405209765942
36	TTHERM_00994410	0.3784301571196643
37	TTHERM_00994390	0.42257294199523027
38	TTHERM_00994190	0.39658105867729315
39	TTHERM_000994239	0.3982222874283484
40	TTHERM_00633340	0.3719201389261693
41	TTHERM_000632789	0.4054745592780335
42	TTHERM_00635780	0.3877567814130232
43	TTHERM_000635758	0.3476085213317177
44	TTHERM_00633040	0.3539973270326128
45	TTHERM_00632850	0.3868480283734323
46	TTHERM_00632821	0.4727842168670887
47	TTHERM_00635800	0.37087170119199653
48	TTHERM_00633270	0.5182837946648153
49	TTHERM_00633150	0.8569301341803087
50	TTHERM_00632920	0.3801926540508867
51	TTHERM_000632901	0.49067976113360295
52	TTHERM_000635749	0.3131911005173045
53	TTHERM_00633339	0.49782716958816936
54	TTHERM_00633210	0.3769159438309347
55	TTHERM_00633190	0.5481165602782374
56	TTHERM_00633390	0.4291913864061475
57	TTHERM_00633240	0.4776249229211369
58	TTHERM_000633273	0.38414031188481595
59	TTHERM_00632870	0.40430899914398816
60	TTHERM_00632890	0.45705309527002863
61	TTHERM_00633180	0.35316206116796484
62	TTHERM_00632950	0.3926041148836821
63	TTHERM_00633090	0.44173277544300815
64	TTHERM_00633370	0.4102706482428419
65	TTHERM_00632810	0.43954211074136457
66	TTHERM_00633230	0.5190441848645191
67	TTHERM_00633220	0.4239232257311452
68	TTHERM_00635750	0.40539821878042803
69	TTHERM_00633070	0.40239824305498045
70	TTHERM_000633650	0.4347162235526412
71	TTHERM_000633249	0.3340159691667884
72	TTHERM_000633041	0.3684591528627542
73	TTHERM_00633140	0.41104878256526756
74	TTHERM_00633640	0.40047817646543105
75	TTHERM_000635748	0.420884302658735
76	TTHERM_00635710	0.36861476573950624
77	TTHERM_00633600	0.40444405666898925
78	TTHERM_00633260	0.44435197520184233
79	TTHERM_00632990	0.39963139404190784
80	TTHERM_00633380	0.4125262479371757
81	TTHERM_00632900	0.4062366934882656
82	TTHERM_000635747	0.35057126201386335
83	TTHERM_00635850	0.3640138190306178
84	TTHERM_00632930	0.5888284880953906
85	TTHERM_00632790	0.43784537593668527
86	TTHERM_00632960	0.4016402337802695
87	TTHERM_00635760	0.3994469253977399
88	TTHERM_00632980	0.36929052418395564
89	TTHERM_00633410	0.3896700180695646
90	TTHERM_00633630	0.3986813989937103
91	TTHERM_00633530	0.5094239068103936
92	TTHERM_00633110	0.41006069261418115
93	TTHERM_000633479	0.39916304108364137
94	TTHERM_00633550	0.37011407799535345
95	TTHERM_00635810	0.46802198754163643
96	TTHERM_00633500	0.38801157679426884
97	TTHERM_00633120	0.38748165695777914
98	TTHERM_00633360	0.797995225685385
99	TTHERM_00633570	0.38192944070112755
100	TTHERM_00634650	0.39554794912629937
101	TTHERM_00633520	0.3584536843016116
102	TTHERM_00633580	0.3533732091775622
103	TTHERM_00633160	0.35512905828853014
104	TTHERM_00635720	0.46026565944203446
105	TTHERM_000635759	0.4055620815448306
106	TTHERM_00634680	0.3728689392744909
107	TTHERM_00633250	0.40595903579809034
108	TTHERM_00633030	0.35444458762296976
109	TTHERM_00633440	0.42702818677111004
110	TTHERM_00632840	0.41963794660055
111	TTHERM_00633170	0.3408858798734327
112	TTHERM_00632940	0.41875646439486414
113	TTHERM_00633480	0.40323768612523375
114	TTHERM_00633560	0.4354802163395739
115	TTHERM_000635769	0.3872356263156988
116	TTHERM_00633420	0.39299627201849396
117	TTHERM_00635770	0.3852170168472332
