taxon	Average Total SCO	Standard Error	Average % of genes with TSC	Std 	Average Expected % of genes with TSC	Std Expected SCO
Ciliate (Standard Code)	0.12404366120404757		54.25876719128683		47.929008444031496	
Ciliate (Stop = UAG, UAA)	-0.06612882891974066		34.775974476349006		37.15341117664293	
Ciliate (Stop = UGA)	0.3690993583360665	0.12310718537607991	13.031574659724082	2.247525144314034	8.93564346293789	1.0003295773952954
Diplomonad (Standard Code)	-0.044379821429566306	0.04616432111764687	25.79635421320704	2.236296542246006	26.92737401476954	1.0938906164868594
Diplomonad (Stop = UGA)	-0.05306787147139131		9.877460081693279		10.41579363987067	
Other Alveolates (Standard Code)	-0.1850707572324322	0.19362686079190367	28.004004864919946	10.45349281947561	32.67853961614721	9.91405574380792
Other Eukaryotes (Standard Code)	-0.17037287965086917	0.08884431436836852	25.251689947140846	7.945346882924135	29.797009745107868	8.792596998972474
