	Position	Ciliates X Alveolates	Ciliates X Eukaryotes	Ciliates X All	Alveolates X Eukaryotes
0	1	0.00016605163849352618	1.4550024153614878e-06	1.2311679901925656e-06	0.1724898700604846
1	2	9.535586614098452e-05	1.4550024153614878e-06	1.0618635727829021e-06	0.49095877893635953
2	3	7.174335001265309e-05	7.862534844658741e-07	5.824916826809039e-07	0.13999067891909256
3	4	9.535586614098452e-05	8.593050838192346e-07	6.777233564949489e-07	0.2506668812135532
4	5	0.0002836920135739662	2.2377276546924807e-06	2.05215538629622e-06	0.13999067891909256
5	6	0.00012613438430846824	1.2222403932525569e-06	9.858312145636302e-07	0.22724745580571315
