Organism	Type	1	2	3	4	5	6
Tritrichomonas foetus	Other Eukaryotes (Standard Code)	-0.422633372	-0.165916671	-0.116591777	-0.121890796	-0.044397698	-0.102584579
Chondrus crispus	Other Eukaryotes (Standard Code)	-0.266368103	-0.188142031	-0.248834943	-0.176781612	-0.233086432	-0.174848533
Cyanidioschyzon merolae	Other Eukaryotes (Standard Code)	-0.39891448	-0.455705668	-0.397908827	-0.276372634	-0.243307492	-0.429517661
Galdieria sulphuraria	Other Eukaryotes (Standard Code)	-0.071913757	-0.460478635	-0.281140895	-0.28900487	-0.297936689	-0.198809956
Porphyra umbilicalis	Other Eukaryotes (Standard Code)	-0.221083307	-0.180517497	-0.32931088	-0.275984627	-0.209280328	-0.290269171
Arabidopsis thaliana	Other Eukaryotes (Standard Code)	-0.045475788	-0.130194589	-0.171652552	-0.147034235	-0.158097054	-0.158800899
Brassica oleracea	Other Eukaryotes (Standard Code)	-0.053446463	-0.165084633	-0.239913151	-0.180738767	-0.208627809	-0.226273542
Chlamydomonas reinhardtii 	Other Eukaryotes (Standard Code)	0.180804065	-0.111913276	-0.030626241	-0.009734578	0.048619844	-0.049285145
Glycine max	Other Eukaryotes (Standard Code)	-0.163558798	-0.099941282	-0.133704514	-0.131924619	-0.16642343	-0.201186172
Micractinium conductrix	Other Eukaryotes (Standard Code)	-0.311586986	-0.171284098	-0.280054921	-0.089233103	0.102286359	-0.139198186
Ostreococcus sp. 'lucimarinus'	Other Eukaryotes (Standard Code)	-0.093893489	-0.056465109	-0.046245855	0.055887515	0.062821255	0.091936694
Phaseolus vulgaris	Other Eukaryotes (Standard Code)	-0.205470633	-0.09517272	-0.183781881	-0.131235569	-0.106594185	-0.196999241
Physcomitrella patens	Other Eukaryotes (Standard Code)	-0.311021739	-0.206768237	-0.270886252	-0.303458581	-0.229187694	-0.302236201
Tetrabaena socialis	Other Eukaryotes (Standard Code)	-0.376919295	-0.219180548	-0.060553765	-0.134255296	0.020555661	-0.121107471
Volvox carteri	Other Eukaryotes (Standard Code)	0.088165019	-0.210920673	-0.123893301	-0.125361001	-0.149363568	-0.286012954
Amanita muscaria	Other Eukaryotes (Standard Code)	-0.117128499	-0.053721738	-0.117261694	-0.083426399	-0.099296813	-0.168208732
Candida albicans	Other Eukaryotes (Standard Code)	-0.189704882	-0.087384949	0.0885315	-0.119119113	-0.142915963	-0.179416695
Coccidioides posadasii	Other Eukaryotes (Standard Code)	-0.094169228	-0.177158826	-0.12823822	-0.164984015	-0.163284251	-0.192374327
Cryptococcus neoformans	Other Eukaryotes (Standard Code)	-0.16437969	-0.200899398	-0.04794905	-0.053169568	-0.070500154	-0.119739409
Fusarium oxysporum	Other Eukaryotes (Standard Code)	-0.185319799	-0.137416682	-0.123449289	0.00031684	-0.041480583	-0.128108779
Kwoniella heveanensis	Other Eukaryotes (Standard Code)	-0.132417896	0.020531629	-0.044870028	-0.029728704	-0.119179799	-0.064603834
Postia placenta	Other Eukaryotes (Standard Code)	-0.092107648	-0.108364518	-0.192893163	-0.183948242	-0.142772648	-0.188638956
Puccinia triticina	Other Eukaryotes (Standard Code)	-0.214407821	-0.238434107	-0.164650494	-0.237046111	-0.35344307	-0.18672022
